X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
1020704.3343246,217630.914665305,70,0.0638403183367,0.000195458476728,East Elmhurst,70,Queens,40.762741,-73.869969
1001529.54319598,173883.042504369,71,0.0931694551828,0.000382572587364,East Flatbush/Farragut,71,Brooklyn,35.860496,-84.100535
1006389.99525415,176995.467296883,72,0.0952020695166,0.000323532461947,East Flatbush/Remsen Village,72,Brooklyn,33.236156,-93.234494
1037837.21590123,213928.161209431,73,0.0853020209129,0.000291799754395,East Flushing,73,Queens,40.115634,-81.090224
1001328.22933622,232772.309614053,74,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,33.61571,-81.10204
999491.706780653,227336.882496938,75,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,37.329217,-86.364699
1017983.41376012,179276.980155928,76,0.241203016269,0.00126660143241,East New York,76,Brooklyn,40.6568312,-73.8830701
1013179.63477503,182555.415124758,77,0.075461081444,0.000191917981315,East New York/Pennsylvania Avenue,77,Brooklyn,38.957094,-76.826701
1015612.14696111,247529.359498987,78,0.0935944495806,0.000191114419551,East Tremont,78,Bronx,40.62842,-76.38718
988348.121326282,204486.635307656,79,0.0426249113144,0.000107893068218,East Village,79,Manhattan,42.061208,-71.863961
1000237.50560312,199582.303009595,80,0.117212621448,0.00040732245622,East Williamsburg,80,Brooklyn,28.414451,-81.442849
1026966.88961132,258960.935764462,81,0.197592771731,0.00039956655019,Eastchester,81,Bronx,41.354538,-74.277095
1019626.12409495,208344.701570623,82,0.119875649697,0.000323601079994,Elmhurst,82,Queens,40.73509,-73.877562
1014948.1578089,208951.025858855,83,0.105984933269,0.000217463718718,Elmhurst/Maspeth,83,Queens,40.722848,-73.908413
935899.02295474,133152.785768853,84,0.233623987032,0.00207375572052,Eltingville/Annadale/Prince's Bay,84,Staten Island,40.528994,-74.197644
997512.056746898,175092.434708095,85,0.0574751473562,0.000143637804933,Erasmus,85,Brooklyn,40.64966,-73.952628
1052508.84332378,158898.814514462,86,0.134245282582,0.000623278815249,Far Rockaway,86,Queens,40.651378,-73.870779
982084.066286442,196731.733219086,87,0.0369015496117,6.72050210692E-05,Financial District North,87,Manhattan,33.61571,-81.10204
981114.731618012,195542.004470123,88,0.0352046035327,5.72999455414E-05,Financial District South,88,Manhattan,37.329217,-86.364699
994603.469296451,172805.876039701,89,0.122794569553,0.000447548142373,Flatbush/Ditmas Park,89,Brooklyn,39.11251,-100.35875
985142.963791086,209806.230708972,90,0.0307591620819,5.53132476305E-05,Flatiron,90,Manhattan,39.745346,-82.097643
1002974.73862325,167858.679702796,91,0.124996624585,0.000537330013243,Flatlands,91,Brooklyn,40.626843,-73.933043
1031218.50905972,217714.372403203,92,0.117830066799,0.000374946617289,Flushing,92,Queens,40.115634,-81.090224
1028064.2835598,208639.269515631,93,0.170998027597,0.000594278183978,Flushing Meadows-Corona Park,93,Queens,39.11251,-100.35875
1011748.76620119,251980.703807268,94,0.0498326083147,6.25819407393E-05,Fordham South,94,Bronx,37.329217,-86.364699
1026320.86759798,202890.896794504,95,0.113629605476,0.00057277033803,Forest Hills,95,Queens,42.945748,-85.613839
1018631.60931038,192785.274454343,96,0.185180248095,0.000547566253402,Forest Park/Highland Park,96,Queens,42.28143,-83.38632
991023.099286207,190887.28949125,97,0.0624760147423,0.000163303970435,Fort Greene,97,Brooklyn,27.612535,-81.943418
1045345.40045122,206711.606071192,98,0.121661018278,0.000485773020954,Fresh Meadows,98,Queens,40.738884,-73.790067
932109.68993544,150502.745858646,99,0.1833714893,0.00121016463877,Freshkills Park,99,Staten Island,39.11251,-100.35875
